NDTI_p0_peak,NDTI_p100_peak,NDTI_p25_peak,NDTI_p50_peak,NDTI_p75_peak
0.049315058,0.35404825,0.14852495,0.2549734,0.31568637
0.079532295,0.2953431,0.12951167,0.22499374,0.26489052
0.079532295,0.2953431,0.12951167,0.22499374,0.26489052
0.045139223,0.27170995,0.07813067,0.14992157,0.21787469
0.049315058,0.35404825,0.14852495,0.2549734,0.31568637
0.079532295,0.2953431,0.12951167,0.22499374,0.26489052
0.049315058,0.35404825,0.14852495,0.2549734,0.31568637
0.093424395,0.37392077,0.15594237,0.29699022,0.34148285
0.0414809,0.2902315,0.09223943,0.19953251,0.24510622
0.093424395,0.37392077,0.15594237,0.29699022,0.34148285
0.041285373,0.31405714,0.07896988,0.08968025,0.16202956
0.052600853,0.30741864,0.07168385,0.092472926,0.13376167
0.052600853,0.3290141,0.07168385,0.09740446,0.21481018
0.094273396,0.34608337,0.10561869,0.17326398,0.2778442
0.052600853,0.30741864,0.07168385,0.092472926,0.13376167
0.041285373,0.31405714,0.07896988,0.08968025,0.16202956
0.050637245,0.31077516,0.08669555,0.09588872,0.1840363
0.040860754,0.30596513,0.070743345,0.08221091,0.12890087
0.041285373,0.31405714,0.07896988,0.08968025,0.16202956
0.048214696,0.33358845,0.08572388,0.1039806,0.1751909
0.0692296,0.28042376,0.11755141,0.20017076,0.2674392
0.09804371,0.22142498,0.13272923,0.1776802,0.21095811
0.08560431,0.25232553,0.12732817,0.18067262,0.21117792
0.09348416,0.2489798,0.1397075,0.18774073,0.22452813
0.09804371,0.22142498,0.13272923,0.1776802,0.21095811
0.08560431,0.25232553,0.12732817,0.18067262,0.21117792
0.0692296,0.28042376,0.11755141,0.20017076,0.2674392
0.07484252,0.25961646,0.12687749,0.17826724,0.23016746
0.09348416,0.2489798,0.1397075,0.18774073,0.22452813
0.07484252,0.25961646,0.12687749,0.17826724,0.23016746
0.12694255,0.34681252,0.1600762,0.18888082,0.28710857
0.124655604,0.3322898,0.15974715,0.20657519,0.28671843
0.11682571,0.3268946,0.15836471,0.21712595,0.30325317
0.124655604,0.3322898,0.15974715,0.20657519,0.28671843
0.124655604,0.3322898,0.15974715,0.20657519,0.28671843
0.12694255,0.34681252,0.1600762,0.18888082,0.28710857
0.12771851,0.332991,0.16171011,0.18631876,0.28146896
0.11682571,0.3268946,0.15836471,0.21712595,0.30325317
0.12694255,0.34681252,0.1600762,0.18888082,0.28710857
0.11682571,0.3268946,0.15836471,0.21712595,0.30325317
0.109712146,0.26155934,0.1284377,0.14675826,0.19748537
0.109712146,0.26155934,0.1284377,0.14675826,0.19748537
0.10198619,0.25712064,0.16139919,0.17796822,0.22581293
0.109712146,0.26155934,0.1284377,0.14675826,0.19748537
0.07732952,0.37513393,0.14041759,0.23866133,0.32255456
0.07098475,0.36382076,0.14360088,0.24210486,0.32894912
0.07732952,0.37513393,0.14041759,0.23866133,0.32255456
0.07732952,0.37513393,0.14041759,0.23866133,0.32255456
0.079931475,0.3600549,0.14510301,0.2232592,0.31209958
0.09636305,0.35417718,0.15339395,0.240026,0.31622207
0.09636305,0.35417718,0.15339395,0.240026,0.31622207
0.13145389,0.34329492,0.18633182,0.27541223,0.32576206
0.12745751,0.35369885,0.19036493,0.277453,0.32648513
0.16908555,0.34144804,0.20146774,0.27151975,0.32810625
0.16908555,0.34144804,0.20146774,0.27151975,0.32810625
0.13145389,0.34329492,0.18633182,0.27541223,0.32576206
0.12990247,0.346688,0.18552408,0.26677224,0.31724504
0.18734607,0.34691906,0.24742885,0.28361425,0.31763828
0.12990247,0.346688,0.18552408,0.26677224,0.31724504
0.13145389,0.34329492,0.18633182,0.27541223,0.32576206
0.18734607,0.34691906,0.24742885,0.28361425,0.31763828
0.09564132,0.33753943,0.14155217,0.22628383,0.26886958
0.09564132,0.33753943,0.14155217,0.22628383,0.26886958
0.114232115,0.22559935,0.13644709,0.16078693,0.19833301
0.09369266,0.2797757,0.15361127,0.22609788,0.2546544
0.114232115,0.22559935,0.13644709,0.16078693,0.19833301
0.09564132,0.33753943,0.14155217,0.22628383,0.26886958
0.114232115,0.22559935,0.13644709,0.16078693,0.19833301
0.09564132,0.33753943,0.14155217,0.22628383,0.26886958
0.26839834,0.40527266,0.30588883,0.33321252,0.3564629
0.26839834,0.40527266,0.30588883,0.33321252,0.3564629
0.2634979,0.37298882,0.29472134,0.31032678,0.33226502
0.26839834,0.40527266,0.30588883,0.33321252,0.3564629
0.24151404,0.35993657,0.29159448,0.30806094,0.32441244
0.26839834,0.40527266,0.30588883,0.33321252,0.3564629
0.26839834,0.40527266,0.30588883,0.33321252,0.3564629
0.26995453,0.39567554,0.30443794,0.32163742,0.3574534
0.26839834,0.40527266,0.30588883,0.33321252,0.3564629
0.2634979,0.37298882,0.29472134,0.31032678,0.33226502
0.06502825,0.24129994,0.08496004,0.15205295,0.1908089
0.068229616,0.25207996,0.087853484,0.17171949,0.19594479
0.045471568,0.25207996,0.08005252,0.13405362,0.19594479
0.07860636,0.21338433,0.0899108,0.13567154,0.19530684
0.068229616,0.25207996,0.087853484,0.17171949,0.19594479
0.068229616,0.25207996,0.087853484,0.17171949,0.19594479
0.092443235,0.22232847,0.09948643,0.18788283,0.20041479
0.088831276,0.1993913,0.09387248,0.15827708,0.18989457
0.05382097,0.21338433,0.08652154,0.117045976,0.19530684
0.06502825,0.24129994,0.08496004,0.15205295,0.1908089
0.10080642,0.25870383,0.13433823,0.15604086,0.19503713
0.10993735,0.25338757,0.12996563,0.1879926,0.22500251
0.10080642,0.25870383,0.13433823,0.15604086,0.19503713
0.059823673,0.16462299,0.084828965,0.10593864,0.14229853
0.08017701,0.19759037,0.10017565,0.14242381,0.17000054
0.07876708,0.18485409,0.090557426,0.123548545,0.15543273
0.048295077,0.14744858,0.06972412,0.08610538,0.12070866
0.048295077,0.14744858,0.06972412,0.08610538,0.12070866
0.059823673,0.16462299,0.084828965,0.10593864,0.14229853
0.059823673,0.16462299,0.084828965,0.10593864,0.14229853
0.07876708,0.18485409,0.090557426,0.123548545,0.15543273
0.048295077,0.14744858,0.06972412,0.08610538,0.12070866
0.08017701,0.19759037,0.10017565,0.14242381,0.17000054
0.010570573,0.13896905,0.040330056,0.06654682,0.08262975
0.014093028,0.13645065,0.044160064,0.062024657,0.08949581
0.014093028,0.13645065,0.044160064,0.062024657,0.08949581
-0.007042977,0.22072247,0.056682758,0.07084378,0.09759535
0.045716092,0.14530112,0.05874888,0.074943826,0.08586812
0.10606656,0.24111496,0.14300367,0.16986297,0.21263644
0.08486633,0.1981297,0.11616387,0.12962122,0.14500669
0.10606656,0.24111496,0.14300367,0.16986297,0.21263644
0.014093028,0.13645065,0.044160064,0.062024657,0.08949581
0.045716092,0.14530112,0.05874888,0.074943826,0.08586812
0.117703654,0.25021115,0.1483125,0.18682487,0.22292641
0.115776606,0.27118093,0.15442398,0.20808646,0.24015129
0.115776606,0.27118093,0.15442398,0.20808646,0.24015129
0.110921256,0.28906837,0.15010338,0.20659694,0.2512354
0.115776606,0.27118093,0.15442398,0.20808646,0.24015129
0.115776606,0.27118093,0.15442398,0.20808646,0.24015129
0.115776606,0.27118093,0.15442398,0.20808646,0.24015129
0.115776606,0.27118093,0.15442398,0.20808646,0.24015129
0.12931286,0.27365142,0.17099044,0.19497117,0.24810131
0.09260276,0.26189938,0.13513884,0.1874323,0.23565331
0.08503406,0.21934569,0.09880273,0.16768897,0.19922724
0.09901189,0.20805337,0.12756056,0.15700604,0.18205869
0.094690084,0.1886586,0.11530482,0.15205777,0.17506608
0.08392337,0.22388314,0.08969436,0.16140226,0.18765022
0.08503406,0.21934569,0.09880273,0.16768897,0.19922724
0.092646316,0.2276906,0.13117622,0.15937941,0.19899423
0.12541614,0.27773055,0.16908199,0.23619156,0.24560171
0.09901189,0.20805337,0.12756056,0.15392716,0.18205869
0.092646316,0.2276906,0.13117622,0.15937941,0.19899423
0.099514134,0.18528454,0.12724093,0.15978388,0.16654423
0.09914805,0.33482838,0.18250549,0.27145448,0.30575755
0.09914805,0.33482838,0.18250549,0.27145448,0.30575755
0.09914805,0.33482838,0.18250549,0.27145448,0.30575755
0.08545597,0.36455697,0.18253945,0.29003474,0.32659087
0.08545597,0.36455697,0.18253945,0.29003474,0.32659087
0.09914805,0.33482838,0.18250549,0.27145448,0.30575755
0.09914805,0.33482838,0.18250549,0.27145448,0.30575755
0.09460914,0.34433088,0.17928962,0.2831781,0.3109422
0.08545597,0.36455697,0.18253945,0.29003474,0.32659087
0.088304296,0.35116673,0.18942715,0.29304692,0.31857386
0.07323861,0.32110688,0.15630163,0.22870612,0.29457498
0.08809237,0.31055093,0.15933621,0.21581882,0.25854716
0.09199785,0.30695134,0.1530694,0.21563807,0.2679182
0.09199785,0.30695134,0.1530694,0.21563807,0.2679182
0.07323861,0.32110688,0.15630163,0.22870612,0.29457498
0.08809237,0.31055093,0.15933621,0.21581882,0.25854716
0.037182756,0.25564045,0.112446055,0.17180508,0.23279884
0.039894734,0.33589083,0.16768794,0.24723542,0.3069362
0.039894734,0.33589083,0.16768794,0.24723542,0.3069362
0.07323861,0.32110688,0.15630163,0.22870612,0.29457498
